trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-98.71975309957415,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-139.3199108077518,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-87.59004875520665,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-49.41035036553532,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-104.4173233705503,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-238.53048202767155,"{0: 8, 1: 1, 2: 6, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,23,-2.6973258769415116,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-89.30413698667371,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,4,-149.15707610957836,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-105.15887230320817,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-153.40307265643656,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,3,-23.392644028630013,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-151.07345396022816,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-107.81359109269229,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-32.67868640209469,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,5,-37.30890726309024,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,6,10.19275813355162,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-57.73505759529224,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-42.30010129608016,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,14,10.741679294190526,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,6,-101.44532198758854,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 3}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-27.89568634520378,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
3,True,"{'a': 0.0, 'e': 0.0}",35,0,-127.6656285684183,"{0: 30, 1: 0, 2: 1, 3: 0, 4: 4}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-121.86212256834683,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 3}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,15,16.18847726009326,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,7,-11.77415153562805,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,17,4.794241691322892,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-10.730442180852807,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,9,-7.604836392545917,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",20,14,9.89582066031632,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
