trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-70.96069842237019,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.95}",25,0,-174.2341513336051,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.95}",20,0,-104.17124996802227,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.95}",25,0,-162.02818652197436,"{0: 12, 1: 0, 2: 10, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.95}",20,0,-76.43763142702065,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.95}",25,0,-184.30430147697777,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.95}",20,0,-151.73898773328537,"{0: 12, 1: 2, 2: 1, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.95}",20,0,-151.53972734971006,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.95}",25,0,-121.04507743083373,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.95}",20,0,-87.38148287656134,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.95}",25,0,-76.96865514664266,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.95}",20,0,-75.27648551463379,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.95}",30,0,-110.27046947275956,"{0: 20, 1: 5, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.95}",20,0,-167.76630247850417,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.95}",20,0,-73.76696585754554,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.95}",30,0,-204.41126528699672,"{0: 14, 1: 2, 2: 11, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.95}",30,0,-151.96640998451224,"{0: 18, 1: 2, 2: 6, 3: 3, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.95}",20,0,-121.02325934686091,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.95}",25,7,-28.68600312625624,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.95}",30,0,-98.42134935986708,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.95}",20,0,-54.03778185482859,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.95}",25,0,-112.78483177895917,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.95}",30,0,-238.23193184114098,"{0: 16, 1: 3, 2: 4, 3: 4, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.95}",35,0,-223.03315471827747,"{0: 21, 1: 3, 2: 6, 3: 1, 4: 4}",0
25,False,"{'a': 0.5, 'e': 0.95}",25,0,-110.24006178716826,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.95}",30,16,-75.23823108743514,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
27,False,"{'a': 0.5, 'e': 0.95}",20,10,-118.63508020643657,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 2}",1
28,False,"{'a': 0.5, 'e': 0.95}",20,0,-89.5360522465952,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.95}",30,0,-41.887586283709425,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.95}",30,0,-112.7462219118556,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.95}",20,0,-107.86569221495293,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.95}",30,0,-254.12139057237775,"{0: 17, 1: 0, 2: 5, 3: 5, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.95}",25,0,-137.0788444819118,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.95}",25,0,-134.1292379162324,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
35,False,"{'a': 0.5, 'e': 0.95}",35,15,-29.671907274705994,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.95}",30,0,-87.61449241464948,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.95}",25,0,-138.56909429163645,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
38,False,"{'a': 0.5, 'e': 0.95}",20,0,-33.456682155004714,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.95}",20,0,13.977545743841121,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.95}",20,0,-8.99979354652756,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.95}",25,0,-61.79325050746742,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.95}",20,0,-61.80993976424294,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.95}",30,23,4.5035372272962935,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.95}",25,0,-126.58597455004418,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.95}",20,7,-21.092230732520886,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.95}",25,0,-67.30222437891523,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.95}",25,0,-88.21479764755935,"{0: 15, 1: 5, 2: 2, 3: 3, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.95}",20,0,-125.22478575954514,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.95}",25,0,-59.849685956130216,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.95}",20,0,-147.6866234911401,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.95}",30,0,-226.35315618424013,"{0: 16, 1: 7, 2: 1, 3: 2, 4: 4}",0
52,False,"{'a': 0.5, 'e': 0.95}",30,0,-291.675378145151,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 5}",0
53,False,"{'a': 0.5, 'e': 0.95}",25,0,-40.28947199824898,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.95}",20,0,-150.78006630567293,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.95}",30,17,-93.37552307267839,"{0: 6, 1: 2, 2: 3, 3: 1, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.95}",20,14,-8.762151337089858,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.95}",30,0,-113.30582357164288,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.95}",25,0,-191.14780834740992,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.95}",20,0,-51.19653914702519,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.95}",20,0,-72.3037401408582,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.95}",30,3,-146.5422413929219,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 2}",1
62,False,"{'a': 0.5, 'e': 0.95}",25,0,-160.64223271407937,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 4}",0
63,False,"{'a': 0.5, 'e': 0.95}",30,0,-127.42007340970417,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.95}",20,0,-193.11874738499435,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 3}",0
65,False,"{'a': 0.5, 'e': 0.95}",25,0,-176.48636866458355,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
66,False,"{'a': 0.5, 'e': 0.95}",20,0,-57.80208934542546,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.95}",20,9,-70.23496515380715,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.95}",30,10,-121.07083110438133,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",1
69,False,"{'a': 0.5, 'e': 0.95}",20,0,-146.23929874656554,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.95}",30,0,-59.82632178800377,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.95}",25,0,-116.34098979568336,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.95}",30,0,-211.77197339133116,"{0: 18, 1: 2, 2: 4, 3: 3, 4: 3}",0
73,False,"{'a': 0.5, 'e': 0.95}",25,0,-73.4916289116197,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.95}",20,0,-38.85769292523552,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.95}",20,11,-19.717282426815288,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.95}",20,0,-58.9465845381763,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.95}",20,0,-122.60428701402267,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.95}",20,0,-180.44376267509782,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
79,False,"{'a': 0.5, 'e': 0.95}",30,0,-85.56718477056796,"{0: 21, 1: 1, 2: 6, 3: 2, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.95}",20,8,-82.74866996559884,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.95}",20,0,-74.96819812369208,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.95}",20,0,-163.7984570163985,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.95}",25,0,-120.15453425908062,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.95}",20,0,-44.361145697184945,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.95}",35,0,-102.07196690932686,"{0: 24, 1: 3, 2: 6, 3: 1, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.95}",25,0,-112.46091548066576,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.95}",25,0,-114.97609858314183,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.95}",30,0,-100.05108741563414,"{0: 18, 1: 4, 2: 6, 3: 2, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.95}",20,0,-235.19168575391993,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 4}",0
90,False,"{'a': 0.5, 'e': 0.95}",20,0,-25.01005664896454,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.95}",30,0,-90.18831071552223,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
92,False,"{'a': 0.5, 'e': 0.95}",30,0,-109.89384054682085,"{0: 17, 1: 3, 2: 9, 3: 1, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.95}",25,0,-200.4128039220018,"{0: 11, 1: 4, 2: 5, 3: 3, 4: 2}",0
94,False,"{'a': 0.5, 'e': 0.95}",25,0,-56.745930765561184,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.95}",25,0,-198.77510727500538,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
96,False,"{'a': 0.5, 'e': 0.95}",20,13,-5.626650493061794,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.95}",25,0,-178.89418268260056,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
