trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-151.88072730213142,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.03477589188304,"{0: 11, 1: 6, 2: 1, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.82176058284625,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,13,-12.138863063320567,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-197.5947127664854,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.0768256699154,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-172.4689628983363,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.48631568352049,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-139.11056440143682,"{0: 20, 1: 4, 2: 2, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.7809116560401,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-193.6674954426134,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.61195647526658,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,6,-70.72426796680926,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-223.39788922216815,"{0: 16, 1: 3, 2: 7, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.83306457108867,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-58.07466751086861,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.32207610687348,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.82465516783861,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.0057250747105,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.11167978384482,"{0: 9, 1: 5, 2: 4, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-40.49012573611841,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-29.696130355056773,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.7859128554698,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-148.63544296884234,"{0: 16, 1: 6, 2: 4, 3: 3, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-104.9244325456194,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-194.67576277112084,"{0: 7, 1: 2, 2: 7, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,7,-30.412451173002534,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,10,-32.17041231963113,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-131.85267030445195,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-136.53477832417752,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
